11	1101	1712	AmineC4	meoh	NAKANISHI, K., SHIRAI, H.,  MINAMIYAMA, T. J. Chem. Eng. Data	12:591(67). Note: TDE shows P=0.1013 although Gmehling says it is 0.0973. 0.1013 seems to match the pure component data better.
350.2	0.1013	0.000	0.000
351.1	0.1013	0.280	0.286
350.9	0.1013	0.349	0.380
348.4	0.1013	0.556	0.672
346.2	0.1013	0.655	0.794
345.3	0.1013	0.690	0.832
344.7	0.1013	0.710	0.851
344.4	0.1013	0.720	0.861
342.6	0.1013	0.781	0.912
339.8	0.1013	0.870	0.964
337.7	0.1013	1.000	1.000
15	1713	1101	AmineC5	meoh	Bond, M.R., Johnson, T.J., Willett, R.D. Can.J. Chem. Eng.	66:964(88)
333.15	0.02107	1	1			
333.15	0.02237	0.95007	0.8964			
333.15	0.02374	0.90012	0.8			
333.15	0.02494	0.8502	0.7235			
333.15	0.02629	0.8002	0.6448			
333.15	0.02935	0.7002	0.4991			
333.15	0.03328	0.6002	0.3642			
333.15	0.03844	0.5004	0.2458			
333.15	0.04506	0.4006	0.1514			
333.15	0.05378	0.3008	0.0799			
333.15	0.0642	0.2009	0.0349			
333.15	0.0697	0.1509	0.0207			
333.15	0.07504	0.1007	0.0109			
333.15	0.07998	0.0504	0.0044			
333.15	0.08457	0	0			
15	1713	1102	AmineC5	EtOh	Bond, M.R., Johnson, T.J., Willett, R.D. Can.J. Chem. Eng.	66:964(88)
333.15	0.02107	1	1			
333.15	0.02133	0.95004	0.93609			
333.15	0.02173	0.9001	0.8675			
333.15	0.02215	0.8501	0.802			
333.15	0.02261	0.8002	0.7378			
333.15	0.02374	0.7002	0.6044			
333.15	0.02525	0.6003	0.4712			
333.15	0.02727	0.5003	0.3446			
333.15	0.03005	0.4002	0.2286			
333.15	0.03368	0.3003	0.1339			
333.15	0.03792	0.2003	0.0671			
333.15	0.04005	0.1503	0.044			
333.15	0.0423	0.1002	0.0249			
333.15	0.04454	0.0501	0.0104			
333.15	0.04688	0	0			
15	1713	1103	AmineC5	PrOH	Bond, M.R., Johnson, T.J., Willett, R.D. Can.J. Chem. Eng.	66:964(88)
333.15	0.02107	1	1			
333.15	0.02064	0.94995	0.97173			
333.15	0.02018	0.8999	0.94427			
333.15	0.01966	0.8499	0.91309			
333.15	0.0191	0.7999	0.8746			
333.15	0.01812	0.6999	0.7866			
333.15	0.01728	0.5999	0.6763			
333.15	0.01668	0.5	0.5454			
333.15	0.01647	0.4	0.3929			
333.15	0.0168	0.3001	0.2507			
333.15	0.01771	0.2001	0.129			
333.15	0.01833	0.1501	0.0835			
333.15	0.01902	0.1001	0.0475			
333.15	0.01972	0.0501	0.0203				
333.15	0.02041	0	0				
