   T(K)      P(MPA)     x1Alpha    x1Beta  etaAlpha   etaBeta
  200.00     .200000  .04816029604  .99999039340  .41118786711  .42295888962
  205.00     .200000  .05558442337  .99998840201  .40980050578  .42209587964
  210.00     .200000  .06367350974  .99998336978  .40838349976  .42121037153
  215.00     .200000  .07229641901  .99997665874  .40693749050  .42030253930
  220.00     .200000  .08143065803  .99996787601  .40546221354  .41937231100
  225.00     .200000  .09105213773  .99995657845  .40395735687  .41841956045
  230.00     .200000  .10113518103  .99994227353  .40242257461  .41744410982
  235.00     .200000  .11165285613  .99992442090  .40085749733  .41644573207
  240.00     .200000  .12257743692  .99990243477  .39926174089  .41542415316
  245.00     .200000  .13422583592  .99987525505  .39763282959  .41437900005
  250.00     .200000  .14590201242  .99984298330  .39597447699  .41331000569
  255.00     .200000  .15789744684  .99980456167  .39428431433  .41221672239
  260.00     .200000  .17018468880  .99975925028  .39256197414  .41109870521
  265.00     .200000  .18273519604  .99970627872  .39080711849  .40995546958
  270.00     .200000  .19552093002  .99964484855  .38901943461  .40878649203
  275.00     .200000  .20851457478  .99957413557  .38719863782  .40759121057
  280.00     .200000  .22168924207  .99949329023  .38534447542  .40636902456
  285.00     .200000  .23501981238  .99940144118  .38345672289  .40511929485
  290.00     .200000  .24848177781  .99929769244  .38153518935  .40384134276
  295.00     .200000  .26205200501  .99918112412  .37957971408  .40253444931
  300.00     .200000  .27570877051  .99905079067  .37759016511  .40119785377
  305.00     .200000  .28943186057  .99890571830  .37556643670  .39983075195
  310.00     .200000  .30320270191  .99874490180  .37350844603  .39843229395
  315.00     .200000  .31736150357  .99856554908  .37141554858  .39700130418
  320.00     .200000  .33119664970  .99836980176  .36928903896  .39553733759
  325.00     .200000  .34503172389  .99815501525  .36712815590  .39403915289
  330.00     .200000  .35885432406  .99791996683  .36493286342  .39250567853
  335.00     .200000  .37265997881  .99766342910  .36270313074  .39093578774
  340.00     .200000  .38643892438  .99738404826  .36043892315  .38932827443
  345.00     .200000  .40018508010  .99708039358  .35814019609  .38768185640
  350.00     .200000  .41389425679  .99675092971  .35580689161  .38599516526
  355.00     .200000  .42756510966  .99639401285  .35343893987  .38426673952
  360.00     .200000  .44150635753  .99600453167  .35103795636  .38249439143
  365.00     .200000  .45511829384  .99558654429  .34860089433  .38067754301
  370.00     .200000  .46869145692  .99513509993  .34612890377  .37881386036
  375.00     .200000  .48223405269  .99464782354  .34362187353  .37690137314
  380.00     .200000  .49575196805  .99412209701  .34107966496  .37493794590
  385.00     .200000  .49616307029  .99411624455  .33834991958  .37303635344
  386.00     .200000  .51198824164  .99343458136  .33798285165  .37251094181
  387.00     .200000  .51485207843  .99331776283  .33746381859  .37209949195
  388.00     .200000  .51757195338  .99319550106  .33694158071  .37168502695
  389.00     .200000  .52027913737  .99307126662  .33641776868  .37126824360
  390.00     .200000  .52298533623  .99294512549  .33589253064  .37084913899
  391.00     .200000  .52568290255  .99281683548  .33536575297  .37042764570
  392.00     .200000  .52838651578  .99268674022  .33483764333  .37000381848
  393.00     .200000  .53109191460  .99255465964  .33430814074  .36957760245
  394.00     .200000  .53379959641  .99242058984  .33377725318  .36914897913
  395.00     .200000  .53650676459  .99228441995  .33324493759  .36871790757
  396.00     .200000  .53921420316  .99214614198  .33271120428  .36828436770
  397.00     .200000  .54192228250  .99200572437  .33217605793  .36784833435
  398.00     .200000  .54463112184  .99186313056  .33163949953  .36740978092
  399.00     .200000  .54734081634  .99171832291  .33110152984  .36696868025
  400.00     .200000  .55005145980  .99157126279  .33056214978  .36652500460
  401.00     .200000  .55276303833  .99142190738  .33002135844  .36607872496
  402.00     .200000  .55547521051  .99127020223  .32947914894  .36562980949
  403.00     .200000  .55818972706  .99111615985  .32893555334  .36517824024
  404.00     .200000  .56090549575  .99095969248  .32839055180  .36472397752
  405.00     .200000  .56362239404  .99080075532  .32784414176  .36426699022
  406.00     .200000  .56634075459  .99063931052  .32729632979  .36380724845
  407.00     .200000  .56906073806  .99047531265  .32674711958  .36334472023
  408.00     .200000  .57178245308  .99030871406  .32619651405  .36287937264
  409.00     .200000  .57450600284  .99013946571  .32564451634  .36241117202
  410.00     .200000  .57723149055  .98996751720  .32509112991  .36194008395
  411.00     .200000  .57995902011  .98979281671  .32453635857  .36146607320
  412.00     .200000  .58268869609  .98961531094  .32398020648  .36098910372
  413.00     .200000  .58542086980  .98943495431  .32342268410  .36050914075
  414.00     .200000  .58815527430  .98925167541  .32286378769  .36002614312
  415.00     .200000  .59089209807  .98906542106  .32230352456  .35954007328
  416.00     .200000  .59363149476  .98887613270  .32174190172  .35905089190
  417.00     .200000  .59661778808  .98867128773  .32118521857  .35855568460
  418.00     .200000  .59915502180  .98848736358  .32061556558  .35806283632
  419.00     .200000  .60211843146  .98827621155  .32005572578  .35756119480
  420.00     .200000  .60489576605  .98807319400  .31948961045  .35705891658
  421.00     .200000  .60765539257  .98786731414  .31892162233  .35655342871
  422.00     .200000  .61041596597  .98765801043  .31835226618  .35604457145
  423.00     .200000  .61317968770  .98744518611  .31778160942  .35553229230
  424.00     .200000  .61594691192  .98722876345  .31720966996  .35501654248
  425.00     .200000  .61871778168  .98700866328  .31663646062  .35449727219
  426.00     .200000  .62149241579  .98678480389  .31606199436  .35397443028
  427.00     .200000  .62427111293  .98655711121  .31548629075  .35344796664
  428.00     .200000  .62705413852  .98632550027  .31490936969  .35291782796
  429.00     .200000  .62984089969  .98608985114  .31433122392  .35238395157
  430.00     .200000  .63263184801  .98585008747  .31375188070  .35184628445
  431.00     .200000  .63542714616  .98560611410  .31317135926  .35130476824
  432.00     .200000  .63822691912  .98535783159  .31258967878  .35075934266
  433.00     .200000  .64103128725  .98510513698  .31200685947  .35020994568
  434.00     .200000  .64384259609  .98484805056  .31142300513  .34965654439
  435.00     .200000  .64665742822  .98458624902  .31083801016  .34909902129
  436.00     .200000  .64947678343  .98431968946  .31025192962  .34853732590
